,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,short_inspect_date,short_violation_id,inspect_date,p1_3,p4_6,p7_9,p10_12,p13_18,p19_24,p25_36
246,246,246,394,78328,Golden Wok,295 B Orizaba Ave,San Francisco,CA,94132,,,,14155588000.0,78328_20150820,8/20/2015 0:00,,Complaint,78328_20150820_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20150820,103149,2015-08-20,0,0,10,0,0,6,2
248,248,248,406,77185,The Ramp,855 Terry Francois Blvd,San Francisco,CA,94107,,,,14155597267.0,77185_20161205,12/5/2016 0:00,81.0,Routine - Unscheduled,77185_20161205_103131,Moderate risk vermin infestation,Moderate Risk,20161205,103131,2016-12-05,4,0,0,0,4,0,0
249,249,249,411,78184,Smokin' Warehouse BBQ,3336 Sacramento Ave,San Francisco,CA,94118,,,,,78184_20161206,12/6/2016 0:00,90.0,Routine - Unscheduled,78184_20161206_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,20161206,103116,2016-12-06,0,0,4,0,3,3,0
259,259,259,432,76926,J-Shack,Off The Grid,San Francisco,CA,,,,,,76926_20160607,6/7/2016 0:00,90.0,Routine - Unscheduled,76926_20160607_103120,Moderate risk food holding temperature,Moderate Risk,20160607,103120,2016-06-07,0,0,0,0,0,3,0
260,260,260,433,76544,Saiwalks,3348 Steiner St,San Francisco,CA,94123,,,,,76544_20160628,6/28/2016 0:00,89.0,Routine - Unscheduled,76544_20160628_103105,Improper cooling methods,High Risk,20160628,103105,2016-06-28,1,0,0,0,0,2,0
269,269,269,457,68768,Elsy's Restaurant,2893 Mission St,San Francisco,CA,94110,,,,14155728521.0,68768_20160607,6/7/2016 0:00,88.0,Routine - Unscheduled,68768_20160607_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20160607,103124,2016-06-07,5,0,6,0,0,5,0
276,276,276,470,5313,S.F. Bay Concessionaires Commissary,Pier 41,San Francisco,CA,94133,,,,,5313_20160518,5/18/2016 0:00,92.0,Routine - Unscheduled,5313_20160518_103157,Food safety certificate or food handler card not available,Low Risk,20160518,103157,2016-05-18,0,2,0,0,1,4,1
283,283,283,483,81077,Waffle Cone Shop,Pier 39  B-4,San Francisco,CA,94133,,,,14155959312.0,81077_20170928,9/28/2017 0:00,94.0,Routine - Unscheduled,81077_20170928_103131,Moderate risk vermin infestation,Moderate Risk,20170928,103131,2017-09-28,0,0,2,0,0,3,2
292,292,292,500,82009,Chai Bar By David Rio,1019 Market St,San Francisco,CA,94103,,,,,82009_20160304,3/4/2016 0:00,92.0,Routine - Unscheduled,82009_20160304_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20160304,103124,2016-03-04,0,2,0,0,0,2,2
304,304,304,527,74399,Whiz Burger,700 South Van Ness Ave,San Francisco,CA,94110,,,,14155825888.0,74399_20161206,12/6/2016 0:00,89.0,Routine - Unscheduled,74399_20161206_103120,Moderate risk food holding temperature,Moderate Risk,20161206,103120,2016-12-06,0,0,4,0,2,3,3
305,305,305,528,84759,Hang Ah Tea Room,1 Pagoda Pl,San Francisco,CA,94108,,,,,84759_20171207,12/7/2017 0:00,92.0,Routine - Unscheduled,84759_20171207_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20171207,103119,2017-12-07,0,3,0,0,0,5,0
341,341,341,615,79632,Buttermilk Southern Kitchen,2848 23rd St,San Francisco,CA,94110,,,,,79632_20160322,3/22/2016 0:00,89.0,Routine - Unscheduled,79632_20160322_103120,Moderate risk food holding temperature,Moderate Risk,20160322,103120,2016-03-22,0,6,0,0,4,2,2
343,343,343,622,69147,Mission Rock Resort,817 TERRY FRANCOIS Blvd,San Francisco,CA,94107,,,,,69147_20161205,12/5/2016 0:00,91.0,Routine - Unscheduled,69147_20161205_103105,Improper cooling methods,High Risk,20161205,103105,2016-12-05,0,3,0,0,2,0,0
348,348,348,644,85377,El Toro,2470 San Bruno Ave,San Francisco,CA,94134,,,,,85377_20170104,1/4/2017 0:00,89.0,Routine - Unscheduled,85377_20170104_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20170104,103119,2017-01-04,4,0,0,0,2,0,0
351,351,351,653,71997,Independence High School,1350 07th Ave,San Francisco,CA,94122,,,,14155246000.0,71997_20151006,10/6/2015 0:00,94.0,Routine - Unscheduled,71997_20151006_103120,Moderate risk food holding temperature,Moderate Risk,20151006,103120,2015-10-06,0,0,1,3,0,2,2
359,359,359,671,83773,Bar Nua,561 Columbus Ave,San Francisco,CA,94133,,,,,83773_20170104,1/4/2017 0:00,86.0,Routine - Unscheduled,83773_20170104_103129,Insufficient hot water or running water,Moderate Risk,20170104,103129,2017-01-04,0,0,0,0,4,0,5
360,360,360,673,88657,Fang Yuan Kitchen,31 Cambon Dr,San Francisco,CA,94132,,,,14155278848.0,88657_20160830,8/30/2016 0:00,86.0,Routine - Unscheduled,88657_20160830_103120,Moderate risk food holding temperature,Moderate Risk,20160830,103120,2016-08-30,0,0,0,4,0,1,0
366,366,366,690,85924,Domino's #8421,5200 Geary Blvd,San Francisco,CA,94118,,,,14155383030.0,85924_20160203,2/3/2016 0:00,92.0,Routine - Unscheduled,85924_20160203_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20160203,103124,2016-02-03,0,0,0,5,0,5,2
379,379,379,722,82926,Hops & Hominy,12 Tillman St,San Francisco,CA,94108,,,,,82926_20161003,10/3/2016 0:00,96.0,Routine - Unscheduled,82926_20161003_103159,Worker safety hazards,Low Risk,20161003,103159,2016-10-03,0,0,0,0,2,0,0
396,396,396,765,93361,Las Palmas on SF,5251 3rd St.,San Francisco,CA,94124,,,,,93361_20171219,12/19/2017 0:00,,New Ownership,93361_20171219_103131,Moderate risk vermin infestation,Moderate Risk,20171219,103131,2017-12-19,0,3,0,0,0,0,0
419,419,419,870,85739,Kawashima's Kitchen,5800 3rd St  C1001,San Francisco,CA,94124,,,,14155234447.0,85739_20160310,3/10/2016 0:00,,New Ownership,85739_20160310_103102,Unclean hands or improper use of gloves,High Risk,20160310,103102,2016-03-10,0,0,2,0,0,0,6
423,423,423,880,90238,USA Power Market,1524 \ Ave,San Francisco,CA,94112,,,,14155331878.0,90238_20170131,1/31/2017 0:00,,New Ownership,90238_20170131_103120,Moderate risk food holding temperature,Moderate Risk,20170131,103120,2017-01-31,0,0,0,2,4,0,0
428,428,428,895,82466,Tanuki Restaurant,4419 California St,San Francisco,CA,94118,,,,,82466_20161206,12/6/2016 0:00,92.0,Routine - Unscheduled,82466_20161206_103138,Improper storage use or identification of toxic substances,Low Risk,20161206,103138,2016-12-06,0,0,3,0,3,0,4
433,433,433,907,87337,Whisk On Wheels,Off the Grid,San Francisco,CA,,,,,,87337_20160812,8/12/2016 0:00,94.0,Routine - Unscheduled,87337_20160812_103120,Moderate risk food holding temperature,Moderate Risk,20160812,103120,2016-08-12,0,0,0,0,0,2,2
437,437,437,935,78313,Sajj Street Eats #2,Off The Grid,San Francisco,CA,,,,,,78313_20160324,3/24/2016 0:00,96.0,Routine - Unscheduled,78313_20160324_103148,No thermometers or uncalibrated thermometers,Low Risk,20160324,103148,2016-03-24,0,0,0,0,1,0,2
438,438,438,937,86164,The Myriad,2175 Market St,San Francisco,CA,94114,,,,14155644318.0,86164_20160328,3/28/2016 0:00,98.0,Routine - Unscheduled,86164_20160328_103138,Improper storage use or identification of toxic substances,Low Risk,20160328,103138,2016-03-28,0,0,0,0,0,0,1
447,447,447,973,88799,Village House,3398 Balboa St A,San Francisco,CA,94121,,,,14155526655.0,88799_20170918,9/18/2017 0:00,,Complaint,88799_20170918_103114,High risk vermin infestation,High Risk,20170918,103114,2017-09-18,0,0,5,0,4,5,0
460,460,460,1036,76992,City Taqueria,1836 Divisadero St,San Francisco,CA,94115,,,,,76992_20160928,9/28/2016 0:00,75.0,Routine - Unscheduled,76992_20160928_103150,Improper or defective plumbing,Low Risk,20160928,103150,2016-09-28,5,0,0,0,0,5,7
466,466,466,1058,87447,The Castro Republic,2295 Market St,San Francisco,CA,94114,,,,14155930525.0,87447_20161027,10/27/2016 0:00,90.0,Routine - Unscheduled,87447_20161027_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20161027,103119,2016-10-27,5,0,6,0,3,0,0
469,469,469,1074,83704,Z011 Coffee Traders,1035 Fillmore St #3,San Francisco,CA,94115,,,,,83704_20161104,11/4/2016 0:00,92.0,Routine - Unscheduled,83704_20161104_103157,Food safety certificate or food handler card not available,Low Risk,20161104,103157,2016-11-04,0,0,0,0,4,0,2
471,471,471,1078,82376,Nieves Cinco De Mayo Produce,3052 16th St,San Francisco,CA,94103,,,,14155807536.0,82376_20150730,7/30/2015 0:00,90.0,Routine - Unscheduled,82376_20150730_103139,Improper food storage,Low Risk,20150730,103139,2015-07-30,5,0,0,0,3,4,4
473,473,473,1089,71416,The Supremo Pizza LLC,87 06th St,San Francisco,CA,94103,,,,,71416_20171213,12/13/2017 0:00,72.0,Routine - Unscheduled,71416_20171213_103156,Permit license or inspection report not posted,Low Risk,20171213,103156,2017-12-13,0,7,0,0,7,0,8
478,478,478,1103,88128,Stoner's Sandwiches of San Francisco,752 Van Ness Ave,San Francisco,CA,,,,,,88128_20170104,1/4/2017 0:00,94.0,Routine - Unscheduled,88128_20170104_103120,Moderate risk food holding temperature,Moderate Risk,20170104,103120,2017-01-04,0,0,0,0,2,0,0
479,479,479,1107,82394,Senor Sisig #4,Off The Grid,San Francisco,CA,,,,,,82394_20160618,6/18/2016 0:00,89.0,Routine - Unscheduled,82394_20160618_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20160618,103144,2016-06-18,0,0,0,3,0,3,0
507,507,507,1224,89833,AJ's BBQ  & Cafe,2275 San Jose St,San Francisco,CA,94112,,,,,89833_20171207,12/7/2017 0:00,72.0,Routine - Unscheduled,89833_20171207_103139,Improper food storage,Low Risk,20171207,103139,2017-12-07,0,7,0,0,7,0,0
512,512,512,1240,88764,Anar Restaurant Persian Cuisine LLC,937 Harrison St,San Francisco,CA,94107,,,,,88764_20161215,12/15/2016 0:00,,New Ownership,88764_20161215_103142,Unclean nonfood contact surfaces,Low Risk,20161215,103142,2016-12-15,0,0,0,0,3,0,0
514,514,514,1250,81884,Little Sweet,3836 Geary Blvd,San Francisco,CA,94118,,,,,81884_20161206,12/6/2016 0:00,87.0,Routine - Unscheduled,81884_20161206_103109,Unclean or unsanitary food contact surfaces,High Risk,20161206,103109,2016-12-06,0,0,0,0,3,5,0
516,516,516,1254,74591,"Flying Ninja, Inc.",2801 Leavenworth St #1011,San Francisco,CA,94133,,,,,74591_20160815,8/15/2016 0:00,90.0,Routine - Unscheduled,74591_20160815_103128,Consumer advisory not provided for raw or undercooked foods,Moderate Risk,20160815,103128,2016-08-15,0,3,0,0,0,4,5
522,522,522,1279,68260,MV Bay Breeze,Pier 41,San Francisco,CA,94133,,,,,68260_20160518,5/18/2016 0:00,98.0,Routine - Unscheduled,68260_20160518_103139,Improper food storage,Low Risk,20160518,103139,2016-05-18,2,0,0,0,1,1,0
535,535,535,1342,87517,Cecilia's Pizza & Restaurant,3515 Mission St,San Francisco,CA,94110,,,,14155825852.0,87517_20160512,5/12/2016 0:00,,New Ownership,87517_20160512_103120,Moderate risk food holding temperature,Moderate Risk,20160512,103120,2016-05-12,0,0,0,7,0,3,0
538,538,538,1348,5973,DAVIES MEDICAL CENTER,045 CASTRO St,San Francisco,CA,94114,,,,14155566000.0,5973_20151204,12/4/2015 0:00,90.0,Routine - Unscheduled,5973_20151204_103145,Improper storage of equipment utensils or linens,Low Risk,20151204,103145,2015-12-04,0,2,0,0,0,1,4
551,551,551,1414,78196,Javalenica Cafe,920 Valencia St,San Francisco,CA,94110,,,,14155822321.0,78196_20160120,1/20/2016 0:00,82.0,Routine - Unscheduled,78196_20160120_103129,Insufficient hot water or running water,Moderate Risk,20160120,103129,2016-01-20,5,0,0,0,6,0,6
559,559,559,1472,91106,Rincon Nayarit,1500 South Van Ness Ave 100,San Francisco,CA,94110,,,,14155552780.0,91106_20170928,9/28/2017 0:00,92.0,Routine - Unscheduled,91106_20170928_103125,Noncompliance with shell fish tags or display,Moderate Risk,20170928,103125,2017-09-28,0,0,2,0,0,0,0
560,560,560,1475,77108,Happy Donut,2101 Van Ness Ave,San Francisco,CA,94109,,,,,77108_20160413,4/13/2016 0:00,76.0,Routine - Unscheduled,77108_20160413_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20160413,103124,2016-04-13,0,6,0,0,0,8,0
568,568,568,1510,84656,Kaiju Eats Inc,3409 Geary Blvd,San Francisco,CA,94118,,,,14155744309.0,84656_20160412,4/12/2016 0:00,86.0,Routine - Unscheduled,84656_20160412_103147,Inadequate ventilation or lighting,Low Risk,20160412,103147,2016-04-12,6,0,0,0,0,5,8
570,570,570,1514,69750,Mango's Taqueria & Cantina,"Pier 39  P-214-A2,3,4",San Francisco,CA,94133,,,,,69750_20160414,4/14/2016 0:00,88.0,Routine - Unscheduled,69750_20160414_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20160414,103119,2016-04-14,0,8,0,0,7,7,0
574,574,574,1520,83013,Loews Regency San Francisco (Pastry Kitchen),222 Sansome St 37th Floor,San Francisco,CA,94104,,,,14155279888.0,83013_20170928,9/28/2017 0:00,98.0,Routine - Unscheduled,83013_20170928_103154,Unclean or degraded floors walls or ceilings,Low Risk,20170928,103154,2017-09-28,0,0,1,0,0,3,0
578,578,578,1534,88712,Illy Caffe SF 200 Montgomery,220 Montgomery St Suite 144 & 148,San Francisco,CA,94104,,,,,88712_20180222,2/22/2018 0:00,92.0,Routine - Unscheduled,88712_20180222_103148,No thermometers or uncalibrated thermometers,Low Risk,20180222,103148,2018-02-22,3,0,0,0,6,0,0
584,584,584,1552,92767,Island Market and Deli,"1 Avenue of the Palms,  Suite A",San Francisco,CA,94130,,,,,92767_20180112,1/12/2018 0:00,,New Construction,92767_20180112_103161,Low risk vermin infestation,Low Risk,20180112,103161,2018-01-12,3,0,0,0,0,0,0
585,585,585,1553,77611,Papito West,425 A Hayes St,San Francisco,CA,94102,,,,14155308075.0,77611_20160412,4/12/2016 0:00,84.0,Routine - Unscheduled,77611_20160412_103105,Improper cooling methods,High Risk,20160412,103105,2016-04-12,0,0,0,5,0,3,0
644,644,644,1797,70184,Kitchen Story Cafe,3499 16th St,San Francisco,CA,94114,,,,14155939663.0,70184_20151223,12/23/2015 0:00,66.0,Routine - Unscheduled,70184_20151223_103103,High risk food holding temperature,High Risk,20151223,103103,2015-12-23,5,0,6,0,0,0,9
651,651,651,1815,88792,Starbucks Coffee #47471,3801 03rd St,San Francisco,CA,94124,,,,,88792_20160901,9/1/2016 0:00,96.0,Routine - Unscheduled,88792_20160901_103118,Employee eating or smoking,Moderate Risk,20160901,103118,2016-09-01,0,1,0,0,0,1,0
685,685,685,1950,86399,Lima Peruvian Food LLC,2200 Jerrold Ave Suite N,San Francisco,CA,94124,,,,14156794193.0,86399_20170928,9/28/2017 0:00,,Complaint,86399_20170928_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,20170928,103116,2017-09-28,0,0,2,0,2,0,0
693,693,693,1995,76546,Landmark Theatres Embarcadero Center,1 Embarcadero Center,San Francisco,CA,94111,,,,,76546_20160922,9/22/2016 0:00,,Reinspection/Followup,76546_20160922_103120,Moderate risk food holding temperature,Moderate Risk,20160922,103120,2016-09-22,0,2,0,0,0,2,0
703,703,703,2076,83990,Counter Offer,806 S Van Ness Ave,San Francisco,CA,94110,,,,14155821800.0,83990_20160628,6/28/2016 0:00,92.0,Routine - Unscheduled,83990_20160628_103154,Unclean or degraded floors walls or ceilings,Low Risk,20160628,103154,2016-06-28,0,0,3,0,0,3,1
705,705,705,2082,78642,ABV,3174 16th St,San Francisco,CA,94103,,,,14155335126.0,78642_20160629,6/29/2016 0:00,86.0,Routine - Unscheduled,78642_20160629_103133,Foods not protected from contamination,Moderate Risk,20160629,103133,2016-06-29,0,0,0,0,0,4,0
719,719,719,2134,81974,Sons & Daughters,708 Bush St,San Francisco,CA,94108,,,,,81974_20160629,6/29/2016 0:00,87.0,Routine - Unscheduled,81974_20160629_103109,Unclean or unsanitary food contact surfaces,High Risk,20160629,103109,2016-06-29,0,0,0,0,0,4,0
725,725,725,2157,80495,Arashi Sushi House,4724 Geary Blvd,San Francisco,CA,94118,,,,,80495_20160629,6/29/2016 0:00,83.0,Routine - Unscheduled,80495_20160629_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20160629,103149,2016-06-29,0,4,0,0,0,4,5
734,734,734,2206,69635,Sophie's Crepes,1581 Webster St 275,San Francisco,CA,94115,,,,,69635_20160407,4/7/2016 0:00,89.0,Routine - Unscheduled,69635_20160407_103114,High risk vermin infestation,High Risk,20160407,103114,2016-04-07,0,0,0,0,0,2,0
742,742,742,2234,90874,Ladle & Leaf,55 2nd St.,San Francisco,CA,94105,,,,,90874_20171117,11/17/2017 0:00,,Reinspection/Followup,90874_20171117_103150,Improper or defective plumbing,Low Risk,20171117,103150,2017-11-17,0,4,0,0,0,0,0
748,748,748,2251,83602,George and Lennie,277 Golden Gate Ave #114,San Francisco,CA,94102,,,,,83602_20160630,6/30/2016 0:00,94.0,Routine - Unscheduled,83602_20160630_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20160630,103144,2016-06-30,0,0,0,0,0,2,0
750,750,750,2261,77750,Pollo,2823 Mission St,San Francisco,CA,94110,,,,14159729942.0,77750_20171212,12/12/2017 0:00,98.0,Routine - Unscheduled,77750_20171212_103142,Unclean nonfood contact surfaces,Low Risk,20171212,103142,2017-12-12,0,1,0,0,1,0,1
759,759,759,2302,85857,Dabba,Off the Grid,San Francisco,CA,,,,,14155697876.0,85857_20160930,9/30/2016 0:00,94.0,Routine - Unscheduled,85857_20160930_103122,Reservice of previously served foods,Moderate Risk,20160930,103122,2016-09-30,0,0,0,0,5,2,0
761,761,761,2305,75892,Mateo's Bay Area Hot Dogs,Treasure Island,San Francisco,CA,,,,,,75892_20160629,6/29/2016 0:00,87.0,Routine - Unscheduled,75892_20160629_103156,Permit license or inspection report not posted,Low Risk,20160629,103156,2016-06-29,4,0,0,0,2,4,2
777,777,777,2373,86490,3Geeks,Off The Grid,San Francisco,CA,,,,,,86490_20160319,3/19/2016 0:00,90.0,Routine - Unscheduled,86490_20160319_103145,Improper storage of equipment utensils or linens,Low Risk,20160319,103145,2016-03-19,0,3,0,0,0,0,3
787,787,787,2402,83439,SF Marriott Union Square (Banquet Kitchen),480 Sutter St Mezzanine,San Francisco,CA,94108,,,,,83439_20160628,6/28/2016 0:00,98.0,Routine - Unscheduled,83439_20160628_103139,Improper food storage,Low Risk,20160628,103139,2016-06-28,2,0,0,0,0,1,0
793,793,793,2424,88932,Chase Luck Bakery,1325 Ocean Ave,San Francisco,CA,94112,,,,14155982063.0,88932_20170105,1/5/2017 0:00,,Reinspection/Followup,88932_20170105_103103,High risk food holding temperature,High Risk,20170105,103103,2017-01-05,0,0,0,0,2,0,0
796,796,796,2442,84668,F2 Founders LLC,400 Grove St,San Francisco,CA,94102,,,,,84668_20160412,4/12/2016 0:00,91.0,Routine - Unscheduled,84668_20160412_103103,High risk food holding temperature,High Risk,20160412,103103,2016-04-12,0,0,0,0,3,1,0
807,807,807,2483,86773,Fiddler's Green of SF,1333 Columbus Ave,San Francisco,CA,94133,,,,,86773_20171208,12/8/2017 0:00,86.0,Routine - Unscheduled,86773_20171208_103143,Inadequate warewashing facilities or equipment,Low Risk,20171208,103143,2017-12-08,0,6,0,0,5,0,0
808,808,808,2488,5509,AT&T - (CART 33) PRETZELS GRILL [145120],24  Pl,San Francisco,CA,94107,,,,14155971500.0,5509_20160410,4/10/2016 0:00,91.0,Routine - Unscheduled,5509_20160410_103108,Contaminated or adulterated food,High Risk,20160410,103108,2016-04-10,0,0,0,0,0,2,0
