,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,short_inspect_date,short_violation_id,inspect_date,p1_3,p4_6,p7_9,p10_12,p13_18,p19_24,p25_36
10,85781,Domino's #7764,876 Geary St,San Francisco,CA,94109,,,,,85781_20160311,3/11/2016 0:00,86.0,Routine - Unscheduled,85781_20160311_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20160311,103124,2016-03-11,6,0,3,0,0,0,5
11,82880,Don Pablo,Off The Grid,San Francisco,CA,,,,,,82880_20160309,3/9/2016 0:00,,Structural Inspection,82880_20160309_103148,No thermometers or uncalibrated thermometers,Low Risk,20160309,103148,2016-03-09,0,0,0,3,0,6,2
12,16441,Hawaiian Drive Inn,2600 San Bruno Ave,San Francisco,CA,94134,37.728718,-122.404101,"(37.728718, -122.404101)",,16441_20161206,12/6/2016 0:00,82.0,Routine - Unscheduled,16441_20161206_103154,Unclean or degraded floors walls or ceilings,Low Risk,20161206,103154,2016-12-06,0,6,0,0,5,3,6
13,2716,RED A BAKERY,634 CLEMENT St,San Francisco,CA,94118,37.782888,-122.466101,"(37.782888, -122.466101)",,2716_20160323,3/23/2016 0:00,57.0,Routine - Unscheduled,2716_20160323_103131,Moderate risk vermin infestation,Moderate Risk,20160323,103131,2016-03-23,0,5,0,0,5,0,7
14,3165,HAN IL KWAN,1802 BALBOA St,San Francisco,CA,94121,37.776599,-122.478292,"(37.776599, -122.478292)",14153598244.0,3165_20170323,3/23/2017 0:00,79.0,Routine - Unscheduled,3165_20170323_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20170323,103149,2017-03-23,0,0,0,0,7,0,5
15,2995,CAFE ROCCO,1131 FOLSOM St,San Francisco,CA,94103,37.776127,-122.408602,"(37.776127, -122.408602)",,2995_20170809,8/9/2017 0:00,74.0,Routine - Unscheduled,2995_20170809_103125,Noncompliance with shell fish tags or display,Moderate Risk,20170809,103125,2017-08-09,0,0,5,0,1,0,6
16,64380,Michael Mina Restaurant,252 California St,San Francisco,CA,94111,37.793338,-122.399583,"(37.793338, -122.399583)",14155350791.0,64380_20160414,4/14/2016 0:00,86.0,Routine - Unscheduled,64380_20160414_103154,Unclean or degraded floors walls or ceilings,Low Risk,20160414,103154,2016-04-14,0,0,4,0,0,5,4
17,3594,CELIAS RESTAURANT,4019 JUDAH St,San Francisco,CA,94122,37.760423,-122.505209,"(37.760423, -122.505209)",,3594_20160330,3/30/2016 0:00,88.0,Routine - Unscheduled,3594_20160330_103133,Foods not protected from contamination,Moderate Risk,20160330,103133,2016-03-30,0,0,0,0,0,0,4
18,5493,AT&T - (CART 17) DELI [145105],24 WILLIE MAYS PLAZA,San Francisco,CA,94107,,,,14155971500.0,5493_20160814,8/14/2016 0:00,94.0,Routine - Unscheduled,5493_20160814_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20160814,103119,2016-08-14,0,0,0,0,0,2,2
19,69762,Chili House Inc.,726 Clement St,San Francisco,CA,94118,,,,,69762_20160413,4/13/2016 0:00,68.0,Routine - Unscheduled,69762_20160413_103133,Foods not protected from contamination,Moderate Risk,20160413,103133,2016-04-13,0,6,0,0,6,7,6
20,80081,Good MongKok Bakery,1039 Stockton St,San Francisco,CA,94108,,,,,80081_20170104,1/4/2017 0:00,78.0,Routine - Unscheduled,80081_20170104_103120,Moderate risk food holding temperature,Moderate Risk,20170104,103120,2017-01-04,0,1,0,0,8,0,5
21,62710,Sam's Chowder Mobile,Golden Gate Park,San Francisco,CA,,37.777122,-122.419639,"(37.777122, -122.419639)",,62710_20160511,5/11/2016 0:00,86.0,Routine - Unscheduled,62710_20160511_103139,Improper food storage,Low Risk,20160511,103139,2016-05-11,0,0,0,0,0,5,1
22,93150,Chez Beesen,200 Pine St,San Francisco,CA,94104,,,,,93150_20171030,10/30/2017 0:00,,New Ownership,93150_20171030_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20171030,103124,2017-10-30,0,6,0,0,0,0,6
23,4960,Three Star Restaurant,2515 Noriega St,San Francisco,CA,94122,37.753583,-122.490839,"(37.753583, -122.490839)",,4960_20160413,4/13/2016 0:00,71.0,Routine - Unscheduled,4960_20160413_103154,Unclean or degraded floors walls or ceilings,Low Risk,20160413,103154,2016-04-13,0,3,0,0,2,7,3
24,74922,Le Marais Bakery,2066 Chestnut St,San Francisco,CA,94123,,,,,74922_20160430,4/30/2016 0:00,82.0,Routine - Unscheduled,74922_20160430_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20160430,103119,2016-04-30,0,5,0,0,0,6,5
25,66999,Super Duper Burgers,2201 Chestnut St,San Francisco,CA,94123,37.800344,-122.439697,"(37.800344, -122.439697)",,66999_20160607,6/7/2016 0:00,87.0,Routine - Unscheduled,66999_20160607_103102,Unclean hands or improper use of gloves,High Risk,20160607,103102,2016-06-07,5,0,0,0,0,3,5
26,61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824000000001,-122.410189,"(37.80824, -122.410189)",,61_20150827,8/27/2015 0:00,92.0,Routine - Unscheduled,61_20150827_103133,Foods not protected from contamination,Moderate Risk,20150827,103133,2015-08-27,0,2,0,0,1,3,3
27,4787,TONY BALONEY'S,1098 HOWARD St,San Francisco,CA,94103,37.778033,-122.40943,"(37.778033, -122.40943)",14155861514.0,4787_20160628,6/28/2016 0:00,83.0,Routine - Unscheduled,4787_20160628_103131,Moderate risk vermin infestation,Moderate Risk,20160628,103131,2016-06-28,0,5,0,0,0,5,5
28,65066,Lers Ros Thai Noodle,307 Hayes St,San Francisco,CA,94102,37.777017,-122.42143,"(37.777017, -122.42143)",,65066_20160810,8/10/2016 0:00,72.0,Routine - Unscheduled,65066_20160810_103105,Improper cooling methods,High Risk,20160810,103105,2016-08-10,0,0,6,0,0,7,6
29,82911,Super Duper,346 Kearny St,San Francisco,CA,94108,,,,,82911_20170927,9/27/2017 0:00,88.0,Routine - Unscheduled,82911_20170927_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20170927,103124,2017-09-27,0,0,4,0,0,3,4
30,80494,Tap (415),845 Market St #495,San Francisco,CA,94103,,,,,80494_20180227,2/27/2018 0:00,93.0,Routine - Unscheduled,80494_20180227_103114,High risk vermin infestation,High Risk,20180227,103114,2018-02-27,1,0,0,0,3,1,1
31,59577,Pasta Moto of San Francisco Centre LLC,845 Market St FE6,San Francisco,CA,94103,37.784848,-122.406892,"(37.784848, -122.406892)",,59577_20160502,5/2/2016 0:00,72.0,Routine - Unscheduled,59577_20160502_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20160502,103149,2016-05-02,3,0,0,6,0,4,2
32,33700,Casa Guadalupe #3,2999 MISSION,San Francisco,CA,94110,37.749194,-122.418116,"(37.749194, -122.418116)",14155875145.0,33700_20160412,4/12/2016 0:00,90.0,Routine - Unscheduled,33700_20160412_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20160412,103119,2016-04-12,0,3,0,0,3,4,3
33,5316,Nick's Lighthouse,Pier 45  Shed B Space 1A,San Francisco,CA,94133,,,,,5316_20171130,11/30/2017 0:00,88.0,Routine - Unscheduled,5316_20171130_103145,Improper storage of equipment utensils or linens,Low Risk,20171130,103145,2017-11-30,0,4,0,0,2,6,4
34,5631,AT&T -Room 5331 GILROY GARLIC FRIES/view [145161],24 WILLIE MAYS PLAZA 5.24.02,San Francisco,CA,94107,37.778382,-122.391151,"(37.778382, -122.391151)",14155971500.0,5631_20160814,8/14/2016 0:00,94.0,Routine - Unscheduled,5631_20160814_103118,Employee eating or smoking,Moderate Risk,20160814,103118,2016-08-14,0,0,1,0,0,2,2
35,5633,AT&T - FIELD CLUB CONCESSION [145185],24 WILLIE MAYS PLAZA 1.09.04,San Francisco,CA,94107,37.778382,-122.391151,"(37.778382, -122.391151)",14155971500.0,5633_20160814,8/14/2016 0:00,94.0,Routine - Unscheduled,5633_20160814_103120,Moderate risk food holding temperature,Moderate Risk,20160814,103120,2016-08-14,0,0,0,0,2,2,1
36,1596,BURGERMEISTER,86 Carl St,San Francisco,CA,94117,37.765848,-122.44966399999998,"(37.765848, -122.449664)",14155564433.0,1596_20171201,12/1/2017 0:00,96.0,Routine - Unscheduled,1596_20171201_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20171201,103144,2017-12-01,0,2,0,0,0,0,5
37,5624,AT&T - DERBY GRILL Room 5311 [145154],24 WILLIE MAYS PLAZA 5.07.02,San Francisco,CA,94107,37.778382,-122.391151,"(37.778382, -122.391151)",14155971500.0,5624_20160814,8/14/2016 0:00,96.0,Routine - Unscheduled,5624_20160814_103120,Moderate risk food holding temperature,Moderate Risk,20160814,103120,2016-08-14,0,0,2,1,0,1,2
38,3522,Bow Hon Restaurant,850 Grant Ave,San Francisco,CA,94108,37.794958,-122.406367,"(37.794958, -122.406367)",,3522_20160412,4/12/2016 0:00,92.0,Routine - Unscheduled,3522_20160412_103120,Moderate risk food holding temperature,Moderate Risk,20160412,103120,2016-04-12,0,7,0,0,5,2,7
39,37633,100% Dessert Cafe,2512 Clement St,San Francisco,CA,94121,37.781988,-122.486252,"(37.781988, -122.486252)",,37633_20160519,5/19/2016 0:00,72.0,Routine - Unscheduled,37633_20160519_103114,High risk vermin infestation,High Risk,20160519,103114,2016-05-19,0,0,0,0,5,6,5
40,39667,Peet's Coffee & Tea,595 Market St  Suite #143,San Francisco,CA,94105,37.789437,-122.401111,"(37.789437, -122.401111)",,39667_20160906,9/6/2016 0:00,96.0,Routine - Unscheduled,39667_20160906_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20160906,103119,2016-09-06,0,0,6,0,4,1,4
41,59838,OTD,2232 Bush St,San Francisco,CA,94115,37.786988,-122.434074,"(37.786988, -122.434074)",14155929578.0,59838_20160531,5/31/2016 0:00,92.0,Routine - Unscheduled,59838_20160531_103133,Foods not protected from contamination,Moderate Risk,20160531,103133,2016-05-31,0,0,0,0,2,2,2
42,81134,Carmelina's Taqueria,500 Parnassus Ave,San Francisco,CA,94143,,,,14155501121.0,81134_20160127,1/27/2016 0:00,,Reinspection/Followup,81134_20160127_103131,Moderate risk vermin infestation,Moderate Risk,20160127,103131,2016-01-27,0,1,0,0,0,0,1
43,58673,New Luen Sing Fish Market,1207 Stockton St,San Francisco,CA,94133,37.796973,-122.408504,"(37.796973, -122.408504)",,58673_20160412,4/12/2016 0:00,71.0,Routine - Unscheduled,58673_20160412_103151,Inadequate or unsanitary refuse containers or area or no garbage service,Low Risk,20160412,103151,2016-04-12,0,5,0,0,4,9,8
44,66534,Midway Grill (Snack Shop),99 Harding Park Road,San Francisco,CA,94103,37.723698,-122.495289,"(37.723698, -122.495289)",,66534_20160413,4/13/2016 0:00,87.0,Routine - Unscheduled,66534_20160413_103120,Moderate risk food holding temperature,Moderate Risk,20160413,103120,2016-04-13,0,4,0,0,4,3,4
45,39403,Frisco Fried,5176 03rd St,San Francisco,CA,94124,37.73089,-122.392227,"(37.73089, -122.392227)",,39403_20171213,12/13/2017 0:00,90.0,Routine - Unscheduled,39403_20171213_103142,Unclean nonfood contact surfaces,Low Risk,20171213,103142,2017-12-13,0,4,0,0,5,0,4
46,71065,"Chutney USA, Inc.",511 Jones St,San Francisco,CA,94102,37.786044,-122.413054,"(37.786044, -122.413054)",,71065_20171211,12/11/2017 0:00,89.0,Routine - Unscheduled,71065_20171211_103142,Unclean nonfood contact surfaces,Low Risk,20171211,103142,2017-12-11,0,3,0,0,3,0,3
47,91480,Mom's Soul Groove,655 Ellis St,San Francisco,CA,94109,,,,,91480_20171002,10/2/2017 0:00,,New Ownership,91480_20171002_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20171002,103119,2017-10-02,0,3,0,0,0,0,3
48,77566,GreenSurge,2301 Market St,San Francisco,CA,94114,,,,14155814131.0,77566_20180223,2/23/2018 0:00,90.0,Routine - Unscheduled,77566_20180223_103177,Non service animal,Low Risk,20180223,103177,2018-02-23,4,0,5,0,0,0,4
49,85925,New Heng Fung Inc,2444 Noriega St,San Francisco,CA,94122,,,,14155740221.0,85925_20161031,10/31/2016 0:00,76.0,Routine - Unscheduled,85925_20161031_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20161031,103124,2016-10-31,0,5,0,0,5,0,8
50,2331,JADE CAFE,1688 BRYANT St,San Francisco,CA,94103,37.765755,-122.410601,"(37.765755, -122.410601)",,2331_20170329,3/29/2017 0:00,67.0,Routine - Unscheduled,2331_20170329_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20170329,103144,2017-03-29,0,0,0,0,7,10,7
51,3267,The Olive Garden Italian,3251 20th Ave,San Francisco,CA,94132,37.728497,-122.475639,"(37.728497, -122.475639)",14155666770.0,3267_20161206,12/6/2016 0:00,,Complaint,3267_20161206_103138,Improper storage use or identification of toxic substances,Low Risk,20161206,103138,2016-12-06,0,0,0,5,3,2,2
52,81987,Celtic Coffee Company,142 McAllister St,San Francisco,CA,94102,,,,,81987_20160627,6/27/2016 0:00,83.0,Routine - Unscheduled,81987_20160627_103156,Permit license or inspection report not posted,Low Risk,20160627,103156,2016-06-27,0,6,0,0,0,6,2
53,93968,Pollo Campero,2740 Mission St,San Francisco,CA,94110,,,,14155620801.0,93968_20171120,11/20/2017 0:00,98.0,Routine - Unscheduled,93968_20171120_103142,Unclean nonfood contact surfaces,Low Risk,20171120,103142,2017-11-20,0,1,0,0,0,0,1
54,3241,SHENG KEE BAKERY,1941 IRVING St,San Francisco,CA,94122,37.76344,-122.478648,"(37.76344, -122.478648)",,3241_20160906,9/6/2016 0:00,86.0,Routine - Unscheduled,3241_20160906_103154,Unclean or degraded floors walls or ceilings,Low Risk,20160906,103154,2016-09-06,0,0,5,0,0,5,4
55,5268,SAN FRANCISCO MUSEUM OF MODERN ART,151 03rd St,San Francisco,CA,94103,37.785643,-122.401192,"(37.785643, -122.401192)",,5268_20160815,8/15/2016 0:00,87.0,Routine - Unscheduled,5268_20160815_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20160815,103124,2016-08-15,3,0,0,0,2,3,3
56,5960,ST. ANNE,1320 14th Ave,San Francisco,CA,94122,37.763403,-122.471582,"(37.763403, -122.471582)",,5960_20160506,5/6/2016 0:00,92.0,Routine - Unscheduled,5960_20160506_103120,Moderate risk food holding temperature,Moderate Risk,20160506,103120,2016-05-06,0,0,0,3,2,3,3
57,5090,SUNSET SUPERMARKET,2425 IRVING St,San Francisco,CA,94122,37.763221,-122.483832,"(37.763221, -122.483832)",,5090_20170725,7/25/2017 0:00,73.0,Routine - Unscheduled,5090_20170725_103157,Food safety certificate or food handler card not available,Low Risk,20170725,103157,2017-07-25,0,0,10,0,6,6,10
58,93815,Little Heaven Deli,2348 Mission Street,San Francisco,CA,94110,,,,,93815_20171102,11/2/2017 0:00,96.0,Routine - Unscheduled,93815_20171102_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20171102,103144,2017-11-02,0,2,0,0,0,0,2
59,3862,IMPERIAL GARDEN SEAFOOD RESTAURANT,2626 SAN BRUNO Ave,San Francisco,CA,94134,37.728458,-122.403991,"(37.728458, -122.403991)",14155469666.0,3862_20170905,9/5/2017 0:00,73.0,Routine - Unscheduled,3862_20170905_103156,Permit license or inspection report not posted,Low Risk,20170905,103156,2017-09-05,0,0,8,0,9,7,8
60,65649,Krua Thai Kitchen,3214 16th St,San Francisco,CA,94103,37.764788,-122.424462,"(37.764788, -122.424462)",,65649_20161206,12/6/2016 0:00,90.0,Routine - Unscheduled,65649_20161206_103120,Moderate risk food holding temperature,Moderate Risk,20161206,103120,2016-12-06,0,0,0,0,3,3,2
61,5457,AT&T - (CART 39) DOGGIE DINER v [145126],24 WILLIE MAYS PLAZA,San Francisco,CA,94107,,,,14155971500.0,5457_20160814,8/14/2016 0:00,96.0,Routine - Unscheduled,5457_20160814_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20160814,103149,2016-08-14,0,0,0,0,0,2,1
62,86659,Cumaica Coffee Co. #1,2800 California St #102,San Francisco,CA,94115,,,,,86659_20160914,9/14/2016 0:00,90.0,Routine - Unscheduled,86659_20160914_103138,Improper storage use or identification of toxic substances,Low Risk,20160914,103138,2016-09-14,3,0,0,0,0,3,3
63,87099,Corridor,100 Van Ness Ave #A,San Francisco,CA,94102,,,,,87099_20161110,11/10/2016 0:00,94.0,Routine - Unscheduled,87099_20161110_103157,Food safety certificate or food handler card not available,Low Risk,20161110,103157,2016-11-10,0,0,4,0,3,0,4
64,69353,Aria,932 Larkin St,San Francisco,CA,94109,37.786565,-122.418116,"(37.786565, -122.418116)",,69353_20160907,9/7/2016 0:00,86.0,Routine - Unscheduled,69353_20160907_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20160907,103149,2016-09-07,4,0,7,0,0,5,7
65,58850,Woerner's Liquor,901 Geary St,San Francisco,CA,94109,37.786053,-122.418327,"(37.786053, -122.418327)",,58850_20160906,9/6/2016 0:00,79.0,Routine - Unscheduled,58850_20160906_103156,Permit license or inspection report not posted,Low Risk,20160906,103156,2016-09-06,2,0,3,0,0,6,5
66,74283,Pizza Express,813 Cortland Ave,San Francisco,CA,94110,,,,14155303323.0,74283_20170824,8/24/2017 0:00,,Complaint,74283_20170824_103154,Unclean or degraded floors walls or ceilings,Low Risk,20170824,103154,2017-08-24,9,0,4,0,5,7,5
67,32586,Terroir,81 Langton St,San Francisco,CA,94103,37.776494,-122.40856200000002,"(37.776494, -122.408562)",14155718949.0,32586_20160906,9/6/2016 0:00,96.0,Routine - Unscheduled,32586_20160906_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20160906,103144,2016-09-06,0,0,0,0,0,2,2
68,2627,BURGERMEISTER,Church St,San Francisco,CA,94114,37.768776,-122.429095,"(37.768776, -122.429095)",14155432874.0,2627_20170105,1/5/2017 0:00,86.0,Routine - Unscheduled,2627_20170105_103138,Improper storage use or identification of toxic substances,Low Risk,20170105,103138,2017-01-05,0,0,0,0,5,0,4
69,36048,Nas Coffee,101 Spear St A-9,San Francisco,CA,94105,37.792577,-122.393992,"(37.792577, -122.393992)",,36048_20170926,9/26/2017 0:00,94.0,Routine - Unscheduled,36048_20170926_103156,Permit license or inspection report not posted,Low Risk,20170926,103156,2017-09-26,0,0,2,0,6,0,2
70,70685,5 Degree Tea House,2527 SAN BRUNO Ave,San Francisco,CA,94134,37.729753,-122.40447,"(37.729753, -122.40447)",14155828233.0,70685_20171212,12/12/2017 0:00,86.0,Routine - Unscheduled,70685_20171212_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20171212,103119,2017-12-12,0,4,0,0,3,4,2
71,91934,"Keep It, Inc.",1170 Powell St,San Francisco,CA,94108,,,,,91934_20170928,9/28/2017 0:00,94.0,Routine - Unscheduled,91934_20170928_103154,Unclean or degraded floors walls or ceilings,Low Risk,20170928,103154,2017-09-28,0,0,3,0,0,0,3
72,13671,AFC SUSHI @SAFEWAY 2606,298 KING STREET,San Francisco,CA,94107,37.776491,-122.394175,"(37.776491, -122.394175)",,13671_20180227,2/27/2018 0:00,89.0,Routine - Unscheduled,13671_20180227_103102,Unclean hands or improper use of gloves,High Risk,20180227,103102,2018-02-27,2,0,0,0,0,2,2
73,79296,Puccini & Pinetti,129 Ellis St,San Francisco,CA,94102,,,,,79296_20160127,1/27/2016 0:00,,Complaint,79296_20160127_103139,Improper food storage,Low Risk,20160127,103139,2016-01-27,0,3,0,0,0,2,3
74,4907,JIM GEORGIE'S DONUT,2799 16th St,San Francisco,CA,94103,37.765262,-122.41523,"(37.765262, -122.41523)",14155867112.0,4907_20170105,1/5/2017 0:00,80.0,Routine - Unscheduled,4907_20170105_103131,Moderate risk vermin infestation,Moderate Risk,20170105,103131,2017-01-05,0,5,0,0,8,0,5
75,40217,Pizzetta 211,211 23rd Ave,San Francisco,CA,94121,37.783758,-122.482885,"(37.783758, -122.482885)",,40217_20160502,5/2/2016 0:00,88.0,Routine - Unscheduled,40217_20160502_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20160502,103124,2016-05-02,0,0,0,0,4,4,4
76,1632,SWEET CHINITO,3100 MISSION St,San Francisco,CA,94110,37.748164,-122.418241,"(37.748164, -122.418241)",,1632_20160810,8/10/2016 0:00,92.0,Routine - Unscheduled,1632_20160810_103120,Moderate risk food holding temperature,Moderate Risk,20160810,103120,2016-08-10,2,0,2,0,3,3,3
77,1833,Rogue Ales Public House,673 Union St,San Francisco,CA,94133,37.800254,-122.410447,"(37.800254, -122.410447)",,1833_20160413,4/13/2016 0:00,78.0,Routine - Unscheduled,1833_20160413_103133,Foods not protected from contamination,Moderate Risk,20160413,103133,2016-04-13,0,0,0,6,0,8,6
78,69282,New Jumbo Seafood Restaurant,1532 NORIEGA St,San Francisco,CA,94122,37.754132,-122.480058,"(37.754132, -122.480058)",14155681800.0,69282_20160413,4/13/2016 0:00,76.0,Routine - Unscheduled,69282_20160413_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20160413,103119,2016-04-13,0,0,0,0,4,6,4
79,18805,Terzo,3011 Steiner St,San Francisco,CA,94123,37.797144,-122.437224,"(37.797144, -122.437224)",,18805_20160607,6/7/2016 0:00,94.0,Routine - Unscheduled,18805_20160607_103154,Unclean or degraded floors walls or ceilings,Low Risk,20160607,103154,2016-06-07,1,0,0,0,0,2,1
80,77778,Thai Thai Noodle 2,1400 California St,San Francisco,CA,94109,,,,,77778_20160502,5/2/2016 0:00,81.0,Routine - Unscheduled,77778_20160502_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,20160502,103116,2016-05-02,3,0,6,0,5,4,3
81,75259,The Battery - Prep Kitchen,717 Battery St Basement,San Francisco,CA,94111,,,,,75259_20160325,3/25/2016 0:00,91.0,Routine - Unscheduled,75259_20160325_103105,Improper cooling methods,High Risk,20160325,103105,2016-03-25,0,0,0,1,1,0,2
82,76526,Stones Throw,1896 Hyde St,San Francisco,CA,94109,,,,,76526_20180227,2/27/2018 0:00,88.0,Routine - Unscheduled,76526_20180227_103120,Moderate risk food holding temperature,Moderate Risk,20180227,103120,2018-02-27,3,0,0,0,0,0,2
83,87510,Oyogu Sushi,4036 Balboa St,San Francisco,CA,94121,,,,14155389800.0,87510_20160513,5/13/2016 0:00,92.0,Routine - Unscheduled,87510_20160513_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20160513,103144,2016-05-13,0,0,2,0,0,3,2
84,3211,PHO HUYNH HIEP II,1833 IRVING St,San Francisco,CA,94122,37.763503,-122.477748,"(37.763503, -122.477748)",,3211_20160815,8/15/2016 0:00,83.0,Routine - Unscheduled,3211_20160815_103133,Foods not protected from contamination,Moderate Risk,20160815,103133,2016-08-15,0,0,4,0,0,4,4
85,81509,The Flying Falafel,1051 Market St,San Francisco,CA,,,,,14158500984.0,81509_20161205,12/5/2016 0:00,85.0,Routine - Unscheduled,81509_20161205_103157,Food safety certificate or food handler card not available,Low Risk,20161205,103157,2016-12-05,5,0,0,0,4,0,4
86,38798,K's Kitchen,757 Monterey Blvd,San Francisco,CA,94127,37.731503,-122.45237,"(37.731503, -122.45237)",,38798_20160518,5/18/2016 0:00,90.0,Routine - Unscheduled,38798_20160518_103145,Improper storage of equipment utensils or linens,Low Risk,20160518,103145,2016-05-18,0,0,3,0,2,4,1
87,3253,S F GOLF CLUB,1310 Junipero Serra Blvd,San Francisco,CA,94132,37.711329,-122.471316,"(37.711329, -122.471316)",14155464100.0,3253_20160413,4/13/2016 0:00,88.0,Routine - Unscheduled,3253_20160413_103132,Improper thawing methods,Moderate Risk,20160413,103132,2016-04-13,0,4,0,4,2,4,4
88,1977,BURMA SUPERSTAR RESTAURANT,309 CLEMENT St,San Francisco,CA,94118,37.783004,-122.462539,"(37.783004, -122.462539)",,1977_20160328,3/28/2016 0:00,87.0,Routine - Unscheduled,1977_20160328_103105,Improper cooling methods,High Risk,20160328,103105,2016-03-28,0,0,0,0,2,0,3
89,77564,New Cheung Hing Restaurant LLC.,2339 Noriega St,San Francisco,CA,94122,,,,14155815528.0,77564_20160503,5/3/2016 0:00,73.0,Routine - Unscheduled,77564_20160503_103109,Unclean or unsanitary food contact surfaces,High Risk,20160503,103109,2016-05-03,0,0,7,0,4,5,7
